iter	Logloss
0	0.6822092421
50	0.4032819639
100	0.338498468
150	0.3160702063
200	0.3048900415
250	0.2973385409
300	0.2922376291
350	0.2879690064
400	0.284774573
450	0.2820635827
500	0.2795028101
550	0.2772756707
600	0.2750403015
650	0.2731704301
700	0.2714474558
750	0.2696449641
800	0.2681213255
850	0.2666546175
900	0.2652174102
950	0.2636861933
999	0.2623784004
